LIC_NAME,STR_NAME,lng,lat
NTUC FAIRPRICE CO-OPERATIVE LTD,EUNOS ROAD 8,103.894731,1.318869
JMD RETAIL PTE. LTD.,TANJONG KATONG ROAD,103.896327,1.304164
NTUC FAIRPRICE CO-OPERATIVE LTD,DEPOT ROAD,103.810031,1.281122
COLD STORAGE SINGAPORE (1983) PTE LTD,HARBOURFRONT WALK,103.821589,1.263896
NTUC FAIRPRICE CO-OPERATIVE LTD,DOVER CRESCENT,103.781697,1.304764
NTUC FAIRPRICE CO-OPERATIVE LTD,TECK WHYE LANE,103.753118,1.380031
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG WEST CENTRAL 3,103.705351,1.339315
NTUC FAIRPRICE CO-OPERATIVE LTD,CHOA CHU KANG NORTH 6,103.746558,1.397302
NTUC FAIRPRICE CO-OPERATIVE LTD,CHOA CHU KANG DRIVE,103.74733,1.397129
LAMIAH ENTERPRISE PTE. LTD.,TECH PARK CRESCENT,103.63034,1.311468
NTUC FAIRPRICE CO-OPERATIVE LTD,COMMONWEALTH AVENUE WEST,103.764248,1.314853
NTUC FAIRPRICE CO-OPERATIVE LTD,TELOK BLANGAH STREET 32,103.808935,1.273383
NTUC FAIRPRICE CO-OPERATIVE LTD,ALEXANDRA ROAD,103.801127,1.273677
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG EAST CENTRAL 1,103.740177,1.333268
NTUC FAIRPRICE CO-OPERATIVE LTD,CLEMENTI AVENUE 2,103.771351,1.314279
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG WEST STREET 41,103.724307,1.348333
NTUC FAIRPRICE CO-OPERATIVE LTD,WEST COAST DRIVE,103.759081,1.311886
NTUC FAIRPRICE CO-OPERATIVE LTD,LOWER KENT RIDGE ROAD,103.784084,1.292774
NTUC FAIRPRICE CO-OPERATIVE LTD,BUKIT BATOK EAST AVENUE 3,103.757045,1.347701
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG GATEWAY ROAD,103.74317,1.3332
NTUC FAIRPRICE CO-OPERATIVE LTD,BUKIT BATOK WEST AVENUE 7,103.746847,1.366507
SHINVA AGRO FOODS PTE. LTD.,TECH PARK CRESCENT,103.631572,1.311002
NTUC FAIRPRICE CO-OPERATIVE LTD,JOO KOON CIRCLE,103.678096,1.324607
SHINVA AGRO FOODS PTE. LTD.,TUAS VIEW WALK 1,103.627789,1.300911
NTUC FAIRPRICE CO-OPERATIVE LTD,CHOA CHU KANG STREET 51,103.7431,1.392074
NTUC FAIRPRICE CO-OPERATIVE LTD,TEBAN GARDENS ROAD,103.742652,1.32052
PHAN NEE INVESTMENTS (S) PTE LTD,OLD CHOA CHU KANG ROAD,103.720857,1.371933
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG EAST STREET 24,103.739199,1.342591
THE QUALITYMART DEPOT PTE. LTD.,DEPOT ROAD,103.803024,1.282201
COLD STORAGE SINGAPORE (1983) PTE LTD,STUDENTS WALK,103.685418,1.348134
SHENG SIONG SUPERMARKET PTE LTD,BUKIT BATOK WEST AVENUE 6,103.743948,1.353038
HONESTBEE PTE. LTD.,BOON LEAT TERRACE,103.797187,1.276045
NTUC FAIRPRICE CO-OPERATIVE LTD,TIONG BAHRU ROAD,103.826935,1.286463
NTUC FAIRPRICE CO-OPERATIVE LTD,BUKIT MERAH CENTRAL,103.817643,1.28312
NTUC FAIRPRICE CO-OPERATIVE LTD,BALESTIER ROAD,103.851056,1.325127
NTUC FAIRPRICE CO-OPERATIVE LTD,HAVELOCK ROAD,103.826794,1.289778
NTUC FAIRPRICE CO-OPERATIVE LTD,TANJONG PAGAR PLAZA,103.843006,1.276241
NTUC FAIRPRICE CO-OPERATIVE LTD,KILLINEY ROAD,103.838534,1.297275
NTUC FAIRPRICE CO-OPERATIVE LTD,JELEBU ROAD,103.763994,1.380542
NTUC FAIRPRICE CO-OPERATIVE LTD,SEMBAWANG DRIVE,103.819462,1.448227
NTUC FAIRPRICE CO-OPERATIVE LTD,WOODLANDS AVENUE 3,103.774051,1.432626
